Atributo,Importancia_media,Desvio
tipo_acidente,0.17788692973641057,0.003203797067918049
veiculos,0.03799003980678285,0.0015541193198814539
br,0.01721237484872784,0.0014767963124635254
uf,0.010640670287457743,0.0016154131363540652
uso_solo,0.007362956594866366,0.001232036066573064
tracado_via,0.007262435111257304,0.0008320975638165754
km,0.0037542207342761815,0.0003601520137784513
latitude,0.0033999249562332912,0.0005667137531095125
hora_cosseno,0.0031111043483482924,0.0010966204746528018
tipo_pista,0.002420880685867699,0.00027742856651727024
fase_dia,0.002099357577887728,0.0005768917771503299
hora_seno,0.001423963756079849,0.00032607796966925714
longitude,0.001266271355081039,0.0003234957333374483
dia_semana,0.0012200525745089453,0.0006900400084953367
condicao_metereologica,0.0011594468202860142,0.0004510321138344138
mes_cosseno,7.340836307627719e-05,4.13972675674452e-05
sentido_via,2.522867789591654e-05,1.2337851794147033e-05
mes_seno,-0.0011226210309747576,0.00040665385930267127
